NOTATION,DATA_STATUS,COMP_TYPE,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,Location 1
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,VACANT  ,N,1404152,415359,'006700010053      ,"2328 ST JAMES AV
CINCINNATO, OH
(39.123448039501625, -84.48961926311513)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1404057,415725,'006700010060      ,"2355 ST JAMES AV
CINCINNATO, OH
(39.12412721631036, -84.48941651572757)"
CONDEMNATION,PREPROS ,CBHCODE ,VACANT  ,N,1403383,416783,'006700020038      ,"2532 STANTON AV
CINCINNATO, OH
(39.12660369753717, -84.49243617539531)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1403310,417213,'007000020090      ,"2619 STANTON AV
CINCINNATO, OH
(39.128408148597266, -84.4923951867686)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1403310,417213,'007000020090      ,"2619 STANTON AV
CINCINNATO, OH
(39.128408148597266, -84.4923951867686)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1403303,417455,'007000020130      ,"2639 STANTON AV
CINCINNATO, OH
(39.129165132516725, -84.4923183356093)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1403502,417925,'006500020115      ,"2808 STANTON AV
CINCINNATO, OH
(39.13029448787989, -84.49207714659833)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1403522,417953,'006500020003      ,"2810 STANTON AV
CINCINNATO, OH
(39.13034037899786, -84.49207231595435)"
KEEP THE BUILDING VACANT,CRIMPREP,CBHCODE ,VACANT  ,N,1403540,418212,'006500020012      ,"2830 STANTON AV
CINCINNATO, OH
(39.13079929019903, -84.49202400951211)"
CONDEMNATION,CRIMPREP,CBHCODE ,VACANT  ,N,1403540,418212,'006500020012      ,"2830 STANTON AV
CINCINNATO, OH
(39.13079929019903, -84.49202400951211)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,VACANT  ,N,1403546,418190,'006500020012      ,"2830 STANTON AV
CINCINNATO, OH
(39.13079929019903, -84.49202400951211)"
